1;United;2000;Studio Gang
2;Bangerz;2013;RCA Records
3;The Blue Carpet Treatment;2006;Geffen Records
4;Who Made Who;1986;Maximum Overdrive Soundtrack
5;Fly on the Wall;1985;Atlantic Record
6;#willpower;2013;Interscope Records
7;Monkey Business;2005;A&M Records
8;The Dutchess;2006;A&M Records
