1;Thomas Mars;M;40
2;Deck d'Arcy;M;40
3;Christian Mazzalai;M;40
4;Laurent Brancowitz;M;43
5;Miley Cyrus;F;24
6;Calvin Broadus Jr.;M;45
7;Malcom Young;M;64
8;Angus Young;M;62
9;Mark Evans;M;61
10;Cliff Williams;M;67
11;Bon Scott;M;33
12;Brian Johnson;M;70
13;Dave Evans;M;64
14;Allan Pineda Lindo;M;42
15;Fergie Duhamel;F;42
16;Jaime Luis Gomez;M;42
17;William James Adams;M;42
