1;Phoenix;Phoenix es un grupo frances de musica indie formado a finales de los 90 en Versalles, Francia. Conformado por Thomas Mars, Deck dArcy, Laurent Brancowitz y Christian Mazzalai. Es uno de los grupos mas populares de rock frances en el mundo.
2;Miley Cirus;Cantante Solista. Miley Ray Cyrus (Nashville, Tennessee, 23 de noviembre de 1992), nacida como Destiny Hope Cyrus, es una cantante y actriz estadounidense.
3;Snoop Dogg;Cantante Solista. Calvin Cordozar Broadus Jr. (Long Beach, 20 de octubre de 1971), mas conocido como Snoop Dogg o Snoop Lion, es un rapero, productor y actor estadounidense. Ha sido uno de los artistas de hip-hop con mas exito del West Coast rap ademas de uno de los mas notables protegidos del productor Dr. Dre.
4;AC/DC;AC/DC es un grupo de hard rock formado en 1973 en Sidney, Australia, por los hermanos de origen escoces, Malcolm y Angus Young.
5;Will.i.am;Cantante Solista. William James Adams Jr. (Los Angeles, California, Estados Unidos, 15 de marzo de 1975 mas conocido como will.i.am) es un cantante y compositor estadounidense, vocalista y miembro del grupo The Black Eyed Peas.
6;The Black Eyed Peas;The Black Eyed Peas es un grupo de musica estadounidense de hip hop formado en 1995 en Los Angeles, California. Seis veces ganadores del premio Grammy, el grupo estaba integrado por los vocalistas: Will.i.am, Apl.de Ap y Taboo.
7;Fergie;Cantante Solista. Fergie Duhamel (nacida Stacy Ann Ferguson, Hacienda Heights, California, 27 de marzo de 1975), es una cantante, rapera y actriz estadounidense. Formo parte del grupo Wild Orchid y en el grupo The Black Eyed Peas. Actualmente trabaja en solitario.
