1;Fergie rompio el silencio su divorcio con Josh Duhamel;"La estrella hablo por primera vez de la sorpresiva separacion. ""Con amor y respeto absoluto decidimos separarnos como pareja a principios de este anho"", le senhalo el representante de Fergie a E! News. ""Para darle a nuestra familia la mejor oportunidad de ajustarse, quisimos mantener esto como un asunto privado antes de compartirlo con el publico. Nosotros estamos y siempre estaremos unidos por nuestro apoyo mutuo y por nuestra familia"".";2017-09-20
2;Snoop Dogg vuelve a Chile: estara en el festival Maquinaria;En abril de este anho, el cartel del festival Lollapalooza sobre todo en sus escenarios principales estaba dominado por el rock, pero eso no fue impedimento para que el hip hop de Kanye West encantara a la audiencia. Y en noviembre, otro rapero se enfrentara a un publico mas asiduo a las guitarras pesadas: Snoop Dogg, uno de los grandes exponentes del genero, sera uno de los nombres fuertes en la segunda edicion del festival Maquinaria, que se realizara el 12 y 13 de noviembre en el Club Hipico, y que ya tenia confirmados a Megadeth, The Vaccines y Gepe, entre otros artistas.;2011-06-28
3;Quien dijo que todo esta perdido?;Asi explicaba Brian Johnson, mitico vocalista de AC/DC, su salida de la banda en la primavera de 2016, un mes despues de que se vieran obligados a cancelar una serie de conciertos por los problemas de salud del cantante, que se arriesgaba a una perdida total de la audicion si seguia sobre los escenarios. No era la primera vez que la banda habia suspendido conciertos por el estado de salud de Johnson que, en 2009, habia sido diagnosticado con el sindrome de Barret, lo que obligo a cancelar varias actuaciones de la gira 'Black Ice'.;2017-10-06
4;Phoenix anuncia el lanzamiento de 'Ti Amo', su nuevo album;Phoenix anuncio la salida de su nuevo album, Ti Amo, el primero de la banda francesa desde Bankrupt! editado en 2013. La fecha de lanzamiento es el 9 de junio. Los franceses dieron su primer show en tres anhos la semana pasada en Amberes, Belgica, y mostraron cuatro temas nuevos, entre ellos el que le da nombre al album.;2017-04-25
5;Asi ha sido la sorprendente transformacion de Miley Cyrus en los ultimos meses;Miley Cyrus esta de nuevo en boca de todos, pero esta vez es para bien. Con la llegada de su nuevo sencillo 'Malibu', la ex estrella de Disney dio un giro bastante radical a su estilo de vestir y musical. La verdad es que no se creia que el cambio fuera tan rapido, pero, por lo que podemos ver, los dias de mecerse casi al desnudo en una bola de demolicion han quedado ya bastante lejanos.;2017-06-01
