1;Thomas Mars;40;M;
2;Deck d'Arcy;40;M;
3;Christian Mazzalai;40;M;
4;Laurent Brancowitz;43;M;
5;Miley Cyrus;24;F;
6;Calvin Broadus Jr.;45;M;
7;Malcom Young;64;M;
8;Angus Young;62;M;
9;Mark Evans;61;M;
10;Cliff Williams;67;M;
11;Bon Scott;33;M;
12;Brian Johnson;70;M;
13;Dave Evans;64;M;
14;Allan Pineda Lindo;42;M;
15;Fergie Duhamel;42;F;
16;Jaime Luis Gomez;42;M;
17;William James Adams;42;M;
